Date,Yearly Mean Total Sunspot Number,Yearly Mean Standard Deviation,Number of Observations,Definitive/Provisional Indicator
1875-12-31,28.30000,6.10000,365.00000,1.00000
1876-12-31,18.90000,5.10000,366.00000,1.00000
1877-12-31,20.70000,5.30000,365.00000,1.00000
1878-12-31,5.70000,3.20000,365.00000,1.00000
1879-12-31,10.00000,3.90000,365.00000,1.00000
1880-12-31,53.70000,8.30000,366.00000,1.00000
1881-12-31,90.50000,10.70000,365.00000,1.00000
1882-12-31,99.00000,11.20000,365.00000,1.00000
1883-12-31,106.10000,11.60000,365.00000,1.00000
1884-12-31,105.80000,11.60000,366.00000,1.00000
1885-12-31,86.30000,10.50000,365.00000,1.00000
1886-12-31,42.40000,7.40000,365.00000,1.00000
1887-12-31,21.80000,5.40000,365.00000,1.00000
1888-12-31,11.20000,4.00000,366.00000,1.00000
1889-12-31,10.40000,3.90000,365.00000,1.00000
1890-12-31,11.80000,4.10000,365.00000,1.00000
1891-12-31,59.50000,8.70000,365.00000,1.00000
1892-12-31,121.70000,12.40000,366.00000,1.00000
1893-12-31,142.00000,10.60000,365.00000,1.00000
1894-12-31,130.00000,10.20000,365.00000,1.00000
1895-12-31,106.60000,9.20000,365.00000,1.00000
1896-12-31,69.40000,7.40000,366.00000,1.00000
1897-12-31,43.80000,5.90000,365.00000,1.00000
1898-12-31,44.40000,6.00000,365.00000,1.00000
1899-12-31,20.20000,4.10000,365.00000,1.00000
1900-12-31,15.70000,3.80000,365.00000,1.00000
1901-12-31,4.60000,2.60000,365.00000,1.00000
1902-12-31,8.50000,3.10000,365.00000,1.00000
1903-12-31,40.80000,5.70000,365.00000,1.00000
1904-12-31,70.10000,7.50000,366.00000,1.00000
1905-12-31,105.50000,9.20000,365.00000,1.00000
1906-12-31,90.10000,8.50000,365.00000,1.00000
1907-12-31,102.80000,9.00000,365.00000,1.00000
1908-12-31,80.90000,8.00000,366.00000,1.00000
1909-12-31,73.20000,7.60000,365.00000,1.00000
1910-12-31,30.90000,5.00000,365.00000,1.00000
1911-12-31,9.50000,3.10000,365.00000,1.00000
1912-12-31,6.00000,2.70000,366.00000,1.00000
1913-12-31,2.40000,2.30000,365.00000,1.00000
1914-12-31,16.10000,3.80000,365.00000,1.00000
1915-12-31,79.00000,7.90000,365.00000,1.00000
1916-12-31,95.00000,8.70000,366.00000,1.00000
1917-12-31,173.60000,11.80000,365.00000,1.00000
1918-12-31,134.60000,10.30000,365.00000,1.00000
1919-12-31,105.70000,9.20000,365.00000,1.00000
1920-12-31,62.70000,7.10000,366.00000,1.00000
1921-12-31,43.50000,5.90000,365.00000,1.00000
1922-12-31,23.70000,4.50000,365.00000,1.00000
1923-12-31,9.70000,3.10000,365.00000,1.00000
1924-12-31,27.90000,4.80000,366.00000,1.00000
1925-12-31,74.00000,7.70000,365.00000,1.00000
1926-12-31,106.50000,9.20000,365.00000,1.00000
1927-12-31,114.70000,9.50000,365.00000,1.00000
1928-12-31,129.70000,10.20000,366.00000,1.00000
1929-12-31,108.20000,9.30000,365.00000,1.00000
1930-12-31,59.40000,6.90000,365.00000,1.00000
1931-12-31,35.10000,5.30000,365.00000,1.00000
1932-12-31,18.60000,4.00000,366.00000,1.00000
1933-12-31,9.20000,3.20000,365.00000,1.00000
1934-12-31,14.60000,3.60000,365.00000,1.00000
1935-12-31,60.20000,6.90000,365.00000,1.00000
1936-12-31,132.80000,10.30000,366.00000,1.00000
1937-12-31,190.60000,12.30000,365.00000,1.00000
1938-12-31,182.60000,12.10000,365.00000,1.00000
1939-12-31,148.00000,10.80000,365.00000,1.00000
1940-12-31,113.00000,9.50000,366.00000,1.00000
1941-12-31,79.20000,7.90000,365.00000,1.00000
1942-12-31,50.80000,6.40000,365.00000,1.00000
1943-12-31,27.10000,4.70000,365.00000,1.00000
1944-12-31,16.10000,3.80000,366.00000,1.00000
1945-12-31,55.30000,6.60000,365.00000,1.00000
1946-12-31,154.30000,11.10000,365.00000,1.00000
1947-12-31,214.70000,9.80000,365.00000,1.00000
1948-12-31,193.00000,9.30000,366.00000,1.00000
1949-12-31,190.70000,9.20000,365.00000,1.00000
1950-12-31,118.90000,7.30000,365.00000,1.00000
1951-12-31,98.30000,6.60000,365.00000,1.00000
1952-12-31,45.00000,4.50000,366.00000,1.00000
1953-12-31,20.10000,3.00000,365.00000,1.00000
1954-12-31,6.60000,1.70000,365.00000,1.00000
1955-12-31,54.20000,4.90000,365.00000,1.00000
1956-12-31,200.70000,9.50000,366.00000,1.00000
1957-12-31,269.30000,11.00000,365.00000,1.00000
1958-12-31,261.70000,10.80000,365.00000,1.00000
1959-12-31,225.10000,10.00000,365.00000,1.00000
1960-12-31,159.00000,8.40000,366.00000,1.00000
1961-12-31,76.40000,5.80000,365.00000,1.00000
1962-12-31,53.40000,4.90000,365.00000,1.00000
1963-12-31,39.90000,4.20000,365.00000,1.00000
1964-12-31,15.00000,2.60000,366.00000,1.00000
1965-12-31,22.00000,3.20000,365.00000,1.00000
1966-12-31,66.80000,5.40000,365.00000,1.00000
1967-12-31,132.90000,7.70000,365.00000,1.00000
1968-12-31,150.00000,8.20000,366.00000,1.00000
1969-12-31,149.40000,8.20000,365.00000,1.00000
1970-12-31,148.00000,8.10000,365.00000,1.00000
1971-12-31,94.40000,6.50000,365.00000,1.00000
1972-12-31,97.60000,6.60000,366.00000,1.00000
1973-12-31,54.10000,4.90000,365.00000,1.00000
1974-12-31,49.20000,4.70000,365.00000,1.00000
1975-12-31,22.50000,3.20000,365.00000,1.00000
1976-12-31,18.40000,2.90000,366.00000,1.00000
1977-12-31,39.30000,4.20000,365.00000,1.00000
1978-12-31,131.00000,7.60000,365.00000,1.00000
